nmse_best,nmse_min,nmse_avg_full,nmse_avg_sub,base_r_best,base_r_max,base_r_avg_full,base_r_avg_sub,r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma
3.363325297832489014e-01,5.713457107543945312e+00,inf,1.762658691406250000e+01,6.198371052742004395e-01,2.968746721744537354e-01,1.013293564319610596e-01,1.977076679468154907e-01,6.198371052742004395e-01,2.968746721744537354e-01,1.013293564319610596e-01,1.977076679468154907e-01,2.775399971008300781e+01,2.750000000000000000e+01,-1.000000000000000000e+00
2.109863013029098511e-01,2.109863013029098511e-01,inf,3.260732500000000000e+06,6.632862091064453125e-01,6.632862091064453125e-01,1.002604290843009949e-01,2.028544098138809204e-01,6.632862091064453125e-01,6.632862091064453125e-01,1.002604290843009949e-01,2.028544098138809204e-01,2.739599990844726562e+01,2.765999984741210938e+01,-1.000000000000000000e+00
2.109863013029098511e-01,6.572123527526855469e+00,inf,1.831256866455078125e+01,6.632862091064453125e-01,2.926878035068511963e-01,1.026336774230003357e-01,1.956080198287963867e-01,6.632862091064453125e-01,2.926878035068511963e-01,1.026336774230003357e-01,1.956080198287963867e-01,2.782200050354003906e+01,2.681999969482421875e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.193913698196411133e+00,inf,1.743574142456054688e+01,6.632862091064453125e-01,4.705976843833923340e-01,1.019158661365509033e-01,2.114520519971847534e-01,6.632862091064453125e-01,4.705976843833923340e-01,1.019158661365509033e-01,2.114520519971847534e-01,2.775799942016601562e+01,2.565999984741210938e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.461396455764770508e+00,inf,1.935078620910644531e+01,6.632862091064453125e-01,4.502761065959930420e-01,1.007078662514686584e-01,2.029098272323608398e-01,6.632862091064453125e-01,4.502761065959930420e-01,1.007078662514686584e-01,2.029098272323608398e-01,2.767399978637695312e+01,2.765999984741210938e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.861267924308776855e+00,inf,2.027614021301269531e+01,6.632862091064453125e-01,3.369401991367340088e-01,1.047141849994659424e-01,2.023514807224273682e-01,6.632862091064453125e-01,3.369401991367340088e-01,1.047141849994659424e-01,2.023514807224273682e-01,2.745599937438964844e+01,2.745999908447265625e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.746285200119018555e+00,inf,1.756708717346191406e+01,6.632862091064453125e-01,4.242511093616485596e-01,1.048329249024391174e-01,2.011554688215255737e-01,6.632862091064453125e-01,4.242511093616485596e-01,1.048329249024391174e-01,2.011554688215255737e-01,2.813599967956542969e+01,2.663999938964843750e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.746285200119018555e+00,inf,1.792835235595703125e+01,6.632862091064453125e-01,4.242511093616485596e-01,1.077287718653678894e-01,2.067084312438964844e-01,6.632862091064453125e-01,4.242511093616485596e-01,1.077287718653678894e-01,2.067084312438964844e-01,2.709399986267089844e+01,2.771999931335449219e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.744814157485961914e+00,inf,1.699356079101562500e+01,6.632862091064453125e-01,4.100625514984130859e-01,1.068609207868576050e-01,2.024245709180831909e-01,6.632862091064453125e-01,4.100625514984130859e-01,1.068609207868576050e-01,2.024245709180831909e-01,2.703199958801269531e+01,2.650000000000000000e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.542712807655334473e+00,inf,1.633948326110839844e+01,6.632862091064453125e-01,4.406892955303192139e-01,1.052601635456085205e-01,2.122879475355148315e-01,6.632862091064453125e-01,4.406892955303192139e-01,1.052601635456085205e-01,2.122879475355148315e-01,2.747599983215332031e+01,2.604000091552734375e+01,-1.000000000000000000e+00
2.109863013029098511e-01,2.196818351745605469e+00,inf,1.896723175048828125e+01,6.632862091064453125e-01,3.972429037094116211e-01,1.040296405553817749e-01,1.991242021322250366e-01,6.632862091064453125e-01,3.972429037094116211e-01,1.040296405553817749e-01,1.991242021322250366e-01,2.795199966430664062e+01,2.602000045776367188e+01,-1.000000000000000000e+00
2.109863013029098511e-01,3.554102420806884766e+00,inf,1.805445480346679688e+01,6.632862091064453125e-01,3.313176631927490234e-01,1.023025512695312500e-01,1.963012367486953735e-01,6.632862091064453125e-01,3.313176631927490234e-01,1.023025512695312500e-01,1.963012367486953735e-01,2.748999977111816406e+01,2.752000045776367188e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.382202386856079102e+00,inf,1.656822013854980469e+01,6.632862091064453125e-01,4.387197196483612061e-01,9.962188452482223511e-02,2.087762802839279175e-01,6.632862091064453125e-01,4.387197196483612061e-01,9.962188452482223511e-02,2.087762802839279175e-01,2.760000038146972656e+01,2.623999977111816406e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.713890552520751953e+00,inf,1.788484001159667969e+01,6.632862091064453125e-01,4.253358840942382812e-01,1.063779219985008240e-01,2.047175765037536621e-01,6.632862091064453125e-01,4.253358840942382812e-01,1.063779219985008240e-01,2.047175765037536621e-01,2.714599990844726562e+01,2.470000076293945312e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.210130095481872559e+00,inf,1.775731468200683594e+01,6.632862091064453125e-01,4.736998379230499268e-01,1.041538491845130920e-01,2.000714093446731567e-01,6.632862091064453125e-01,4.736998379230499268e-01,1.041538491845130920e-01,2.000714093446731567e-01,2.748200035095214844e+01,2.713999938964843750e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.968085527420043945e+00,inf,1.848305130004882812e+01,6.632862091064453125e-01,3.960843086242675781e-01,1.069116890430450439e-01,2.044126838445663452e-01,6.632862091064453125e-01,3.960843086242675781e-01,1.069116890430450439e-01,2.044126838445663452e-01,2.736199951171875000e+01,2.604000091552734375e+01,-1.000000000000000000e+00
2.109863013029098511e-01,1.449292540550231934e+00,inf,1.589038562774658203e+01,6.632862091064453125e-01,4.731266796588897705e-01,1.082250550389289856e-01,2.191535532474517822e-01,6.632862091064453125e-01,4.731266796588897705e-01,1.082250550389289856e-01,2.191535532474517822e-01,2.727799987792968750e+01,2.713999938964843750e+01,-1.000000000000000000e+00
2.109863013029098511e-01,9.519621133804321289e-01,inf,1.743103790283203125e+01,6.632862091064453125e-01,5.065553188323974609e-01,1.074075847864151001e-01,2.045461088418960571e-01,6.632862091064453125e-01,5.065553188323974609e-01,1.074075847864151001e-01,2.045461088418960571e-01,2.745199966430664062e+01,2.507999992370605469e+01,-1.000000000000000000e+00
2.109863013029098511e-01,3.312055587768554688e+00,inf,1.763658905029296875e+01,6.632862091064453125e-01,3.160212934017181396e-01,1.035864502191543579e-01,2.004782706499099731e-01,6.632862091064453125e-01,3.160212934017181396e-01,1.035864502191543579e-01,2.004782706499099731e-01,2.755800056457519531e+01,2.871999931335449219e+01,-1.000000000000000000e+00
2.109863013029098511e-01,2.952182054519653320e+00,inf,1.931125259399414062e+01,6.632862091064453125e-01,3.489108085632324219e-01,1.030859351158142090e-01,1.907964348793029785e-01,6.632862091064453125e-01,3.489108085632324219e-01,1.030859351158142090e-01,1.907964348793029785e-01,2.744199943542480469e+01,2.637999916076660156e+01,-1.000000000000000000e+00
